k,ruta,paso,sim
46,REM,2,0.4268646240234375
46,REM,3,0.12071824073791504
46,REM,4,0.11336484551429749
46,REM,5,-0.03222415968775749
46,REM,6,-0.22505007684230804
46,SWS,0,1.0
46,SWS,1,0.6702611446380615
46,SWS,2,0.49231618642807007
46,SWS,3,0.07048466801643372
46,SWS,4,0.03264036029577255
46,SWS,5,-0.09498707950115204
46,SWS,6,-0.14409814774990082
47,REM,0,1.0
47,REM,1,0.740655779838562
47,REM,2,0.4520219564437866
47,REM,3,0.16648688912391663
47,REM,4,0.31162941455841064
47,REM,5,0.12375848740339279
47,REM,6,0.05726572871208191
47,SWS,0,1.0
47,SWS,1,0.7255067229270935
47,SWS,2,0.37189340591430664
47,SWS,3,0.3370777368545532
47,SWS,4,0.16240522265434265
47,SWS,5,0.04745955392718315
47,SWS,6,0.07262914627790451
48,REM,0,1.0
48,REM,1,0.6714077591896057
48,REM,2,0.38450202345848083
48,REM,3,0.2161388248205185
48,REM,4,0.19953301548957825
48,REM,5,0.268252968788147
48,REM,6,0.31135547161102295
48,SWS,0,1.0
48,SWS,1,0.6449704170227051
48,SWS,2,0.39128005504608154
48,SWS,3,0.06494711339473724
48,SWS,4,0.21307899057865143
48,SWS,5,-0.08251156657934189
48,SWS,6,-0.09150166809558868
49,REM,0,1.0000001192092896
49,REM,1,0.7513534426689148
49,REM,2,0.43127819895744324
49,REM,3,0.20624175667762756
49,REM,4,0.07789710909128189
49,REM,5,-0.016347741708159447
49,REM,6,-0.06583474576473236
49,SWS,0,1.0000001192092896
49,SWS,1,0.6744608879089355
49,SWS,2,0.44335976243019104
49,SWS,3,0.21326522529125214
49,SWS,4,0.19108720123767853
49,SWS,5,0.19092614948749542
49,SWS,6,0.12986069917678833
