k,ruta,t_offset,media
19,REM,-1,0.20429455621966294
19,REM,0,0.20572593150769963
19,SWS,-15,0.20059255823910793
19,SWS,-14,0.20437950048691186
19,SWS,-13,0.20318611778996207
19,SWS,-12,0.20426540647167712
19,SWS,-11,0.203948646351911
19,SWS,-10,0.20438008367175786
19,SWS,-9,0.2041723397591256
19,SWS,-8,0.20418154111333714
19,SWS,-7,0.20793910958301062
19,SWS,-6,0.2115386194564442
19,SWS,-5,0.21369147100555363
19,SWS,-4,0.21722492399540813
19,SWS,-3,0.219902154754817
19,SWS,-2,0.22517406762066022
19,SWS,-1,0.2318493714903009
19,SWS,0,0.24274173675743707
20,REM,-15,0.20098713259486592
20,REM,-14,0.20090033326830184
20,REM,-13,0.20082519988755923
20,REM,-12,0.20033161224503265
20,REM,-11,0.20032356814904648
20,REM,-10,0.20056499573199646
20,REM,-9,0.1993601170402986
20,REM,-8,0.1985585897096566
20,REM,-7,0.1990698275585023
20,REM,-6,0.19830603525042534
20,REM,-5,0.1984435842434565
20,REM,-4,0.19747894178879888
20,REM,-3,0.1976974304900112
20,REM,-2,0.19793173363528302
20,REM,-1,0.1991353210593973
20,REM,0,0.19964783036095254
20,SWS,-15,0.20792962429679443
20,SWS,-14,0.20834637057577443
20,SWS,-13,0.208425903985323
20,SWS,-12,0.20879217877518386
20,SWS,-11,0.20877064105825147
20,SWS,-10,0.20892167762971262
20,SWS,-9,0.208727330956238
20,SWS,-8,0.2088807174924073
20,SWS,-7,0.20910250815166825
20,SWS,-6,0.2095858121619505
20,SWS,-5,0.21038178714057107
20,SWS,-4,0.2108688935637474
20,SWS,-3,0.21170155879685548
20,SWS,-2,0.2120471837549982
20,SWS,-1,0.21261346007144896
20,SWS,0,0.21369384495384638
21,REM,-15,0.21400351647068472
21,REM,-14,0.21422874203750064
21,REM,-13,0.21304711618938962
21,REM,-12,0.21279157227591464
21,REM,-11,0.21113898130980405
21,REM,-10,0.21172168818504913
21,REM,-9,0.20937702997967048
21,REM,-8,0.2089712992310524
21,REM,-7,0.20955719124703182
21,REM,-6,0.20924940288943403
21,REM,-5,0.20941836416721343
21,REM,-4,0.20977271838407768
21,REM,-3,0.21031897021345344
21,REM,-2,0.21069368182383863
21,REM,-1,0.21052987620766675
21,REM,0,0.2098258372177096
21,SWS,-15,0.19108249261000446
21,SWS,-14,0.1953748147457074
21,SWS,-13,0.19478076043700385
21,SWS,-12,0.19622288830578327
21,SWS,-11,0.1967826160615769
21,SWS,-10,0.19688024592231695
21,SWS,-9,0.19663652757935177
21,SWS,-8,0.19677428796792487
21,SWS,-7,0.1998401222557857
21,SWS,-6,0.20368228581818668
21,SWS,-5,0.20634312423604045
21,SWS,-4,0.21043659021908587
21,SWS,-3,0.21412917153864372
21,SWS,-2,0.21981043762094538
21,SWS,-1,0.22729431216559642
21,SWS,0,0.23925065874931015
22,REM,-15,0.21029173495138392
22,REM,-14,0.21063385776111057
22,REM,-13,0.21066506126442472
22,REM,-12,0.21101968657029302
22,REM,-11,0.20885486189614644
22,REM,-10,0.20916240111641263
22,REM,-9,0.2082999069933538
22,REM,-8,0.20877339584486826
22,REM,-7,0.20923320121235317
22,REM,-6,0.20978663401568637
22,REM,-5,0.20923138320446014
22,REM,-4,0.20955613137860046
22,REM,-3,0.20936670791671938
22,REM,-2,0.20950691463406554
22,REM,-1,0.20923591977251427
22,REM,0,0.21007118122104337
22,SWS,-15,0.18663708280737154
22,SWS,-14,0.18772993765325627
22,SWS,-13,0.18777324246966148
22,SWS,-12,0.18839803955052048
22,SWS,-11,0.18904156874919284
22,SWS,-10,0.18904289277926298
22,SWS,-9,0.18860789699270236
22,SWS,-8,0.18864221102113177
22,SWS,-7,0.1892656883460352
22,SWS,-6,0.19044626069897636
22,SWS,-5,0.19136111386379792
22,SWS,-4,0.19233243174173614
22,SWS,-3,0.19367536260345117
22,SWS,-2,0.19523789172231312
22,SWS,-1,0.19784063826659348
22,SWS,0,0.20104256939349477
23,REM,-15,0.19904177372946458
23,REM,-14,0.19846820064953397
23,REM,-13,0.19858373782119235
23,REM,-12,0.1983195382513498
23,REM,-11,0.19840226288546214
23,REM,-10,0.1983035715377849
23,REM,-9,0.19857588989867103
23,REM,-8,0.19790975430182048
23,REM,-7,0.19900179595228226
23,REM,-6,0.19836537014035618
23,REM,-5,0.1991055597861608
23,REM,-4,0.1987891873638881
23,REM,-3,0.19845943511968636
23,REM,-2,0.19910695165702977
23,REM,-1,0.19893484748899937
23,REM,0,0.19868268215042703
23,SWS,-15,0.2033751906357079
23,SWS,-14,0.20613580152519748
23,SWS,-13,0.2055695686212256
23,SWS,-12,0.20596450718585402
23,SWS,-11,0.2058670872795409
23,SWS,-10,0.2056740700778827
23,SWS,-9,0.2051190310558736
23,SWS,-8,0.20584197693569645
23,SWS,-7,0.20852508772721237
23,SWS,-6,0.21179047840483048
23,SWS,-5,0.21359015289527267
23,SWS,-4,0.21586867421865463
23,SWS,-3,0.21822388252107108
23,SWS,-2,0.22193218515792362
23,SWS,-1,0.22676532794547968
23,SWS,0,0.23483839820787403
24,REM,-15,0.20042189385961084
24,REM,-14,0.2007226926939828
24,REM,-13,0.20102812067882433
24,REM,-12,0.20039660444385127
24,REM,-11,0.19998430054296146
24,REM,-10,0.19953861119954483
24,REM,-9,0.19940911868104227
24,REM,-8,0.19849078011299884
24,REM,-7,0.19897884319699
24,REM,-6,0.1988159418106079
24,REM,-5,0.1993012011051178
24,REM,-4,0.19910675306853495
24,REM,-3,0.19882571194545332
24,REM,-2,0.19862498773127488
24,REM,-1,0.19797061423638038
24,REM,0,0.19733018022687995
24,SWS,-15,0.19712543668590973
24,SWS,-14,0.1975972024548767
24,SWS,-13,0.1979942611180061
24,SWS,-12,0.1983064207015559
24,SWS,-11,0.19813708723455237
24,SWS,-10,0.1982605755329132
24,SWS,-9,0.19805939515300144
24,SWS,-8,0.19803025549764086
24,SWS,-7,0.19912093483853613
24,SWS,-6,0.19951818190156456
24,SWS,-5,0.20048968872027612
24,SWS,-4,0.20096172561699693
24,SWS,-3,0.2019502149849403
24,SWS,-2,0.20283335190213903
24,SWS,-1,0.20469984890396753
24,SWS,0,0.20719738280136726
25,REM,-15,0.21000664023792043
25,REM,-14,0.2110293460743768
25,REM,-13,0.21029740612249118
25,REM,-12,0.2100685752536121
25,REM,-11,0.21025021103295413
25,REM,-10,0.21056716532810874
25,REM,-9,0.21021782275703219
25,REM,-8,0.20938758631902082
25,REM,-7,0.21055743807838076
25,REM,-6,0.21005735699744785
25,REM,-5,0.21015062530835468
25,REM,-4,0.21022536487955795
25,REM,-3,0.2107229803700045
25,REM,-2,0.21019570421926753
25,REM,-1,0.21164134504007442
25,REM,0,0.21292060493108103
25,SWS,-15,0.20202556461374335
25,SWS,-14,0.2050389112570347
25,SWS,-13,0.2048466611992229
25,SWS,-12,0.20565368805546314
25,SWS,-11,0.20631676955499512
25,SWS,-10,0.20627829327549732
25,SWS,-9,0.20578861256308903
25,SWS,-8,0.20636302185286381
25,SWS,-7,0.20889119786777716
25,SWS,-6,0.2126464517836902
25,SWS,-5,0.2148346305634845
25,SWS,-4,0.21815801892768252
25,SWS,-3,0.22118594751852313
25,SWS,-2,0.2257609987028048
25,SWS,-1,0.23216026043652804
25,SWS,0,0.2422878756599015
26,REM,-15,0.21930450463996215
26,REM,-14,0.21950504907539914
26,REM,-13,0.2190555434774708
26,REM,-12,0.2192247235461285
26,REM,-11,0.21654483675956726
26,REM,-10,0.2175575452654258
26,REM,-9,0.21581219219499165
26,REM,-8,0.21602020332855837
26,REM,-7,0.21698800935631707
26,REM,-6,0.2176312784499982
26,REM,-5,0.21725715001424153
26,REM,-4,0.2181630367903333
26,REM,-3,0.21730836830943465
26,REM,-2,0.21789393735300636
26,REM,-1,0.21750672454280512
26,REM,0,0.2174739340210662
26,SWS,-15,0.18672562592497496
26,SWS,-14,0.18970416753720015
26,SWS,-13,0.18882944551873798
26,SWS,-12,0.18976637802552432
26,SWS,-11,0.1899381233514219
26,SWS,-10,0.19016706208947678
26,SWS,-9,0.18989238853486168
26,SWS,-8,0.19017789432197618
26,SWS,-7,0.19307643474861122
26,SWS,-6,0.19587479619418874
26,SWS,-5,0.1979286331887269
26,SWS,-4,0.2002088114619255
26,SWS,-3,0.20290510701697048
26,SWS,-2,0.206935445187797
26,SWS,-1,0.21267435180935956
26,SWS,0,0.22134233267645081
27,REM,-15,0.1983397927354364
27,REM,-14,0.19893100474561964
27,REM,-13,0.19846599045637492
27,REM,-12,0.19874331041386253
27,REM,-11,0.19977327131412245
27,REM,-10,0.20010394279075705
27,REM,-9,0.20006395324512763
27,REM,-8,0.199413145759276
27,REM,-7,0.2005370015662814
27,REM,-6,0.19995827425052137
27,REM,-5,0.1999861454963684
27,REM,-4,0.20002899240506322
27,REM,-3,0.2001240192407585
27,REM,-2,0.1998992924837722
27,REM,-1,0.2008340707314866
27,REM,0,0.20142817650647724
27,SWS,-15,0.19994276204955913
27,SWS,-14,0.20131062569781247
27,SWS,-13,0.20108715808096012
27,SWS,-12,0.20146276184823364
27,SWS,-11,0.20116222649812698
27,SWS,-10,0.20185539514665873
27,SWS,-9,0.20176917926365176
27,SWS,-8,0.2021568141355636
27,SWS,-7,0.20349698787790604
27,SWS,-6,0.20456745567168783
27,SWS,-5,0.20540628408021594
27,SWS,-4,0.2060665264725685
27,SWS,-3,0.20649314156877316
27,SWS,-2,0.20786034950697926
27,SWS,-1,0.20949112241794182
27,SWS,0,0.2123197989052571
28,REM,-15,0.20117292640840306
28,REM,-14,0.20228668408734457
28,REM,-13,0.20162733221376264
28,REM,-12,0.20197899639606476
28,REM,-11,0.2006732462482019
28,REM,-10,0.20137744396924973
28,REM,-9,0.20025527642832863
28,REM,-8,0.19994006705071246
28,REM,-7,0.20006831841809408
28,REM,-6,0.19996589290745118
28,REM,-5,0.199491770863533
28,REM,-4,0.1996661110928184
28,REM,-3,0.1997866799314338
28,REM,-2,0.19974957974915653
28,REM,-1,0.2002565602638892
28,REM,0,0.2007462131407331
28,SWS,-15,0.1820570353035615
28,SWS,-14,0.18358602062759236
28,SWS,-13,0.18341836284014804
28,SWS,-12,0.18363090162165463
28,SWS,-11,0.18415301573881204
28,SWS,-10,0.1838807570682445
28,SWS,-9,0.18358910340347037
28,SWS,-8,0.18368466729950753
28,SWS,-7,0.184959522009581
28,SWS,-6,0.18643490587645037
28,SWS,-5,0.18740472353216428
28,SWS,-4,0.18865319321101362
28,SWS,-3,0.19005795447080115
28,SWS,-2,0.19191722445924517
28,SWS,-1,0.19505180175119963
28,SWS,0,0.19967217847429505
29,REM,-15,0.20380858112783992
29,REM,-14,0.2044971329825265
29,REM,-13,0.20361466584978877
29,REM,-12,0.20340441010500254
29,REM,-11,0.20431485230272467
29,REM,-10,0.2054400437551996
29,REM,-9,0.20455182233342417
29,REM,-8,0.2038208001426288
29,REM,-7,0.2040758454610431
29,REM,-6,0.20274580927456126
29,REM,-5,0.20282639463742574
29,REM,-4,0.20227277573002012
29,REM,-3,0.20149990916252136
29,REM,-2,0.20119563467109325
29,REM,-1,0.20255954217697894
29,REM,0,0.20405743073891192
29,SWS,-15,0.19128272034854532
29,SWS,-14,0.19332282143270868
29,SWS,-13,0.1927884148418411
29,SWS,-12,0.1932278872700408
29,SWS,-11,0.19375052961750308
29,SWS,-10,0.1934915618367598
29,SWS,-9,0.19329309246397966
29,SWS,-8,0.19331091424082494
29,SWS,-7,0.19494112683781262
29,SWS,-6,0.19698978267251488
29,SWS,-5,0.19800197588863658
29,SWS,-4,0.19995868998495014
29,SWS,-3,0.20119581516922974
29,SWS,-2,0.20392720243880447
29,SWS,-1,0.20742339826586595
29,SWS,0,0.2135799500242151
30,REM,-15,0.23064299935803695
30,REM,-14,0.23133860528469086
30,REM,-13,0.2309849818010588
30,REM,-12,0.231578555154173
30,REM,-11,0.22883037240667778
30,REM,-10,0.2299491649736529
30,REM,-9,0.22653284448164482
30,REM,-8,0.22671481647661754
30,REM,-7,0.2269774405729203
30,REM,-6,0.2274249491884428
30,REM,-5,0.22666523694992066
30,REM,-4,0.2275836169719696
30,REM,-3,0.2263311413397272
30,REM,-2,0.22647128768802918
30,REM,-1,0.22522497669394528
30,REM,0,0.2248240029987167
30,SWS,-15,0.15442844139081296
30,SWS,-14,0.16320388146445283
30,SWS,-13,0.1619574729322402
30,SWS,-12,0.16383838932961226
30,SWS,-11,0.16509628425473752
30,SWS,-10,0.16447722009370025
30,SWS,-9,0.16429422450381398
30,SWS,-8,0.16397117866072686
30,SWS,-7,0.16947470673884468
30,SWS,-6,0.17657039948007003
30,SWS,-5,0.18037723649793597
30,SWS,-4,0.18673443922942334
30,SWS,-3,0.19248345085397
30,SWS,-2,0.20169208403414404
30,SWS,-1,0.2145371105319108
30,SWS,0,0.23464077784540227
31,REM,-15,0.20524528315838644
31,REM,-14,0.2055249571800232
31,REM,-13,0.20604793244117015
31,REM,-12,0.20555694087555534
31,REM,-11,0.20521756566383623
31,REM,-10,0.2048072552551394
31,REM,-9,0.20497988799103983
31,REM,-8,0.2047772016376257
31,REM,-7,0.20526617221415988
